Script started on Sun 26 Nov 2017 06:46:48 PM EST
]0;alex@alex-obsidubuntu: ~/git/MSCS692/shah-03/files/ae[01;32malex@alex-obsidubuntu[00m:[01;34m~/git/MSCS692/shah-03/files/ae[00m$ pt [K[Ky autoencoder.py 
2017-11-26 18:46:53.448634: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2017-11-26 18:46:53.539410: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:892] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2017-11-26 18:46:53.539639: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.683
pciBusID: 0000:01:00.0
totalMemory: 10.89GiB freeMemory: 10.10GiB
2017-11-26 18:46:53.539651: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:01:00.0, compute capability: 6.1)
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|          2340 |    39598.6719 | Layer 1 | Epoch 39  |
|          2370 |    40109.7891 | Layer 1 | Epoch 39  |
|          2400 |    41583.1641 | Layer 1 | Epoch 40  |
|          2430 |    39708.9180 | Layer 1 | Epoch 40  |
|          2460 |    41364.3398 | Layer 1 | Epoch 41  |
|          2490 |    38362.5664 | Layer 1 | Epoch 41  |
|          2520 |    37720.2109 | Layer 1 | Epoch 42  |
|          2550 |    39146.9570 | Layer 1 | Epoch 42  |
|          2580 |    39652.3828 | Layer 1 | Epoch 43  |
|          2610 |    38330.8164 | Layer 1 | Epoch 43  |
|          2640 |    39779.7109 | Layer 1 | Epoch 44  |
|          2670 |    40216.7578 | Layer 1 | Epoch 44  |
|          2700 |    39301.1992 | Layer 1 | Epoch 45  |
|          2730 |    39533.7617 | Layer 1 | Epoch 45  |
|          2760 |    40875.8750 | Layer 1 | Epoch 46  |
|          2790 |    37971.4609 | Layer 1 | Epoch 46  |
|          2820 |    40960.1680 | Layer 1 | Epoch 47  |
|          2850 |    39736.9609 | Layer 1 | Epoch 47  |
|          2880 |    38755.6953 | Layer 1 | Epoch 48  |
|          2910 |    38445.7344 | Layer 1 | Epoch 48  |
|          2940 |    38002.1953 | Layer 1 | Epoch 49  |
|          2970 |    38652.2734 | Layer 1 | Epoch 49  |
|          3000 |    40865.1523 | Layer 1 | Epoch 50  |
|          3030 |    38608.8828 | Layer 1 | Epoch 50  |
|          3060 |    38744.0781 | Layer 1 | Epoch 51  |
|          3090 |    39244.6367 | Layer 1 | Epoch 51  |
|          3120 |    39123.0547 | Layer 1 | Epoch 52  |
|          3150 |    39390.9141 | Layer 1 | Epoch 52  |
|          3180 |    40770.7578 | Layer 1 | Epoch 53  |
|          3210 |    38227.5820 | Layer 1 | Epoch 53  |
|          3240 |    39299.2109 | Layer 1 | Epoch 54  |
|          3270 |    39634.4258 | Layer 1 | Epoch 54  |
|          3300 |    40239.8086 | Layer 1 | Epoch 55  |
|          3330 |    40373.6484 | Layer 1 | Epoch 55  |
|          3360 |    39953.9258 | Layer 1 | Epoch 56  |
|          3390 |    39745.5273 | Layer 1 | Epoch 56  |
|          3420 |    37686.0312 | Layer 1 | Epoch 57  |
|          3450 |    39237.8438 | Layer 1 | Epoch 57  |
|          3480 |    38619.3125 | Layer 1 | Epoch 58  |
|          3510 |    40700.8281 | Layer 1 | Epoch 58  |
|          3540 |    38467.1953 | Layer 1 | Epoch 59  |
|          3570 |    39777.2227 | Layer 1 | Epoch 59  |
|          3600 |    39381.5195 | Layer 1 | Epoch 60  |
|          3630 |    37380.2227 | Layer 1 | Epoch 60  |
|          3660 |    40163.2695 | Layer 1 | Epoch 61  |
|          3690 |    37186.2188 | Layer 1 | Epoch 61  |
|          3720 |    40642.0586 | Layer 1 | Epoch 61  |
|          3750 |    40736.9609 | Layer 1 | Epoch 62  |
|          3780 |    39038.0625 | Layer 1 | Epoch 62  |
|          3810 |    37553.2500 | Layer 1 | Epoch 63  |
|          3840 |    37319.9609 | Layer 1 | Epoch 63  |
|          3870 |    40268.8672 | Layer 1 | Epoch 64  |
|          3900 |    38957.2539 | Layer 1 | Epoch 64  |
|          3930 |    39808.6641 | Layer 1 | Epoch 65  |
|          3960 |    40079.6133 | Layer 1 | Epoch 65  |
|          3990 |    38529.0000 | Layer 1 | Epoch 66  |
|          4020 |    40055.8320 | Layer 1 | Epoch 66  |
|          4050 |    37917.0000 | Layer 1 | Epoch 67  |
|          4080 |    41018.6953 | Layer 1 | Epoch 67  |
|          4110 |    39985.3516 | Layer 1 | Epoch 68  |
|          4140 |    37800.8828 | Layer 1 | Epoch 68  |
|          4170 |    40977.5820 | Layer 1 | Epoch 69  |
|          4200 |    40849.0586 | Layer 1 | Epoch 69  |
|          4230 |    37273.2109 | Layer 1 | Epoch 70  |
|          4260 |    38489.9766 | Layer 1 | Epoch 70  |
|          4290 |    39799.1641 | Layer 1 | Epoch 71  |
|          4320 |    40334.6328 | Layer 1 | Epoch 71  |
|          4350 |    40697.1133 | Layer 1 | Epoch 72  |
|          4380 |    42312.3555 | Layer 1 | Epoch 72  |
|          4410 |    38170.7734 | Layer 1 | Epoch 73  |
|          4440 |    40348.9922 | Layer 1 | Epoch 73  |
|          4470 |    39196.8516 | Layer 1 | Epoch 74  |
|          4500 |    39332.3008 | Layer 1 | Epoch 74  |
|          4530 |    39704.3164 | Layer 1 | Epoch 75  |
|          4560 |    39362.4922 | Layer 1 | Epoch 75  |
|          4590 |    40339.8164 | Layer 1 | Epoch 76  |
|          4620 |    37924.2812 | Layer 1 | Epoch 76  |
|          4650 |    40397.4609 | Layer 1 | Epoch 77  |
|          4680 |    39137.1328 | Layer 1 | Epoch 77  |
|          4710 |    38612.1641 | Layer 1 | Epoch 78  |
|          4740 |    35888.2500 | Layer 1 | Epoch 78  |
|          4770 |    37470.8047 | Layer 1 | Epoch 79  |
|          4800 |    40065.7539 | Layer 1 | Epoch 79  |
|          4830 |    40368.6484 | Layer 1 | Epoch 80  |
|          4860 |    39565.3945 | Layer 1 | Epoch 80  |
|          4890 |    40108.2031 | Layer 1 | Epoch 81  |
|          4920 |    37920.6289 | Layer 1 | Epoch 81  |
|          4950 |    39843.1797 | Layer 1 | Epoch 82  |
|          4980 |    40518.5430 | Layer 1 | Epoch 82  |
|          5010 |    37608.8984 | Layer 1 | Epoch 83  |
|          5040 |    41537.9766 | Layer 1 | Epoch 83  |
|          5070 |    40191.5938 | Layer 1 | Epoch 84  |
|          5100 |    37831.8867 | Layer 1 | Epoch 84  |
|          5130 |    38649.1172 | Layer 1 | Epoch 85  |
|          5160 |    40662.5781 | Layer 1 | Epoch 85  |
|          5190 |    40419.8320 | Layer 1 | Epoch 86  |
|          5220 |    40264.2266 | Layer 1 | Epoch 86  |
|          5250 |    40545.6055 | Layer 1 | Epoch 87  |
|          5280 |    40689.7188 | Layer 1 | Epoch 87  |
|          5310 |    37979.0703 | Layer 1 | Epoch 88  |
|          5340 |    38298.5625 | Layer 1 | Epoch 88  |
|          5370 |    40604.2148 | Layer 1 | Epoch 89  |
|          5400 |    38648.9141 | Layer 1 | Epoch 89  |
|          5430 |    38675.7969 | Layer 1 | Epoch 90  |
|          5460 |    40897.2930 | Layer 1 | Epoch 90  |
|          5490 |    40671.6172 | Layer 1 | Epoch 91  |
|          5520 |    37771.9609 | Layer 1 | Epoch 91  |
|          5550 |    36520.5430 | Layer 1 | Epoch 91  |
|          5580 |    39187.9922 | Layer 1 | Epoch 92  |
|          5610 |    37210.9180 | Layer 1 | Epoch 92  |
|          5640 |    37180.2188 | Layer 1 | Epoch 93  |
|          5670 |    36829.6367 | Layer 1 | Epoch 93  |
|          5700 |    39113.6172 | Layer 1 | Epoch 94  |
|          5730 |    41351.0469 | Layer 1 | Epoch 94  |
|          5760 |    38285.8516 | Layer 1 | Epoch 95  |
|          5790 |    37489.2695 | Layer 1 | Epoch 95  |
|          5820 |    36508.2969 | Layer 1 | Epoch 96  |
|          5850 |    37364.8828 | Layer 1 | Epoch 96  |
|          5880 |    37180.6172 | Layer 1 | Epoch 97  |
|          5910 |    39689.3672 | Layer 1 | Epoch 97  |
|          5940 |    37993.2109 | Layer 1 | Epoch 98  |
|          5970 |    38669.9805 | Layer 1 | Epoch 98  |
|          6000 |    37962.9023 | Layer 1 | Epoch 99  |
|          6030 |    38433.5234 | Layer 1 | Epoch 99  |
|          6060 |    40593.0703 | Layer 1 | Epoch 100  |
|          6090 |    38486.7227 | Layer 1 | Epoch 100  |
|          6120 |    39376.3008 | Layer 1 | Epoch 101  |
|          6150 |    40229.7227 | Layer 1 | Epoch 101  |
|          6180 |    40849.9102 | Layer 1 | Epoch 102  |
|          6210 |    38994.2070 | Layer 1 | Epoch 102  |
|          6240 |    40622.3125 | Layer 1 | Epoch 103  |
|          6270 |    38679.7227 | Layer 1 | Epoch 103  |
|          6300 |    39250.0547 | Layer 1 | Epoch 104  |
|          6330 |    42140.3242 | Layer 1 | Epoch 104  |
|          6360 |    39463.4258 | Layer 1 | Epoch 105  |
|          6390 |    41363.7891 | Layer 1 | Epoch 105  |
|          6420 |    39641.9688 | Layer 1 | Epoch 106  |
|          6450 |    37394.6250 | Layer 1 | Epoch 106  |
|          6480 |    39783.8242 | Layer 1 | Epoch 107  |
|          6510 |    36142.9141 | Layer 1 | Epoch 107  |
|          6540 |    39352.8203 | Layer 1 | Epoch 108  |
|          6570 |    37913.2578 | Layer 1 | Epoch 108  |
|          6600 |    40705.8906 | Layer 1 | Epoch 109  |
|          6630 |    38543.8320 | Layer 1 | Epoch 109  |
|          6660 |    36890.9805 | Layer 1 | Epoch 110  |
|          6690 |    39243.4883 | Layer 1 | Epoch 110  |
|          6720 |    41337.7617 | Layer 1 | Epoch 111  |
|          6750 |    38920.5312 | Layer 1 | Epoch 111  |
|          6780 |    40229.7852 | Layer 1 | Epoch 112  |
|          6810 |    40690.3984 | Layer 1 | Epoch 112  |
|          6840 |    39516.3516 | Layer 1 | Epoch 113  |
|          6870 |    39101.6445 | Layer 1 | Epoch 113  |
|          6900 |    38489.0312 | Layer 1 | Epoch 114  |
|          6930 |    39067.3945 | Layer 1 | Epoch 114  |
|          6960 |    39706.0430 | Layer 1 | Epoch 115  |
|          6990 |    39868.7305 | Layer 1 | Epoch 115  |
|          7020 |    38385.5938 | Layer 1 | Epoch 116  |
|          7050 |    38065.6445 | Layer 1 | Epoch 116  |
|          7080 |    39695.8633 | Layer 1 | Epoch 117  |
|          7110 |    40476.6953 | Layer 1 | Epoch 117  |
|          7140 |    38929.9766 | Layer 1 | Epoch 118  |
|          7170 |    37505.8047 | Layer 1 | Epoch 118  |
|          7200 |    40512.4922 | Layer 1 | Epoch 119  |
|          7230 |    38257.1328 | Layer 1 | Epoch 119  |
|          7260 |    39823.7500 | Layer 1 | Epoch 120  |
|          7290 |    38026.6758 | Layer 1 | Epoch 120  |
|          7320 |    38834.0859 | Layer 1 | Epoch 121  |
|          7350 |    40541.4922 | Layer 1 | Epoch 121  |
|          7380 |    38199.6641 | Layer 1 | Epoch 121  |
|          7410 |    40195.1016 | Layer 1 | Epoch 122  |
|          7440 |    40452.0391 | Layer 1 | Epoch 122  |
|          7470 |    40482.4297 | Layer 1 | Epoch 123  |
|          7500 |    38918.8281 | Layer 1 | Epoch 123  |
