Script started on Sun 26 Nov 2017 07:28:52 PM EST
]0;alex@alex-obsidubuntu: ~/git/MSCS692/shah-03/files/ae[01;32malex@alex-obsidubuntu[00m:[01;34m~/git/MSCS692/shah-03/files/ae[00m$ exit[Kpy autoencoder.py 
2017-11-26 19:29:11.036617: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2017-11-26 19:29:11.127298: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:892] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2017-11-26 19:29:11.127532: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.683
pciBusID: 0000:01:00.0
totalMemory: 10.89GiB freeMemory: 10.06GiB
2017-11-26 19:29:11.127543: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:01:00.0, compute capability: 6.1)
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|          2340 |    36892.4141 | Layer 1 | Epoch 39  |
|          2370 |    38124.2109 | Layer 1 | Epoch 39  |
|          2400 |    36533.4219 | Layer 1 | Epoch 40  |
|          2430 |    36731.8867 | Layer 1 | Epoch 40  |
|          2460 |    36013.4453 | Layer 1 | Epoch 41  |
|          2490 |    35260.7305 | Layer 1 | Epoch 41  |
|          2520 |    35620.6016 | Layer 1 | Epoch 42  |
|          2550 |    36090.1484 | Layer 1 | Epoch 42  |
|          2580 |    36280.9375 | Layer 1 | Epoch 43  |
|          2610 |    35773.2305 | Layer 1 | Epoch 43  |
|          2640 |    35477.1016 | Layer 1 | Epoch 44  |
|          2670 |    35218.7266 | Layer 1 | Epoch 44  |
|          2700 |    37217.8867 | Layer 1 | Epoch 45  |
|          2730 |    34959.0703 | Layer 1 | Epoch 45  |
|          2760 |    34516.7695 | Layer 1 | Epoch 46  |
|          2790 |    36223.1172 | Layer 1 | Epoch 46  |
|          2820 |    36220.3555 | Layer 1 | Epoch 47  |
|          2850 |    34720.4766 | Layer 1 | Epoch 47  |
|          2880 |    36356.1953 | Layer 1 | Epoch 48  |
|          2910 |    36973.7266 | Layer 1 | Epoch 48  |
|          2940 |    32981.9531 | Layer 1 | Epoch 49  |
|          2970 |    37217.7656 | Layer 1 | Epoch 49  |
|          3000 |    36952.8633 | Layer 1 | Epoch 50  |
|          3030 |    35208.7578 | Layer 1 | Epoch 50  |
|          3060 |    37006.6055 | Layer 1 | Epoch 51  |
|          3090 |    35798.7227 | Layer 1 | Epoch 51  |
|          3120 |    34446.1016 | Layer 1 | Epoch 52  |
|          3150 |    36632.1328 | Layer 1 | Epoch 52  |
|          3180 |    36741.6250 | Layer 1 | Epoch 53  |
|          3210 |    36232.7422 | Layer 1 | Epoch 53  |
|          3240 |    33366.5430 | Layer 1 | Epoch 54  |
|          3270 |    36262.9922 | Layer 1 | Epoch 54  |
|          3300 |    37344.8789 | Layer 1 | Epoch 55  |
|          3330 |    36908.1484 | Layer 1 | Epoch 55  |
|          3360 |    36386.7266 | Layer 1 | Epoch 56  |
|          3390 |    35063.3281 | Layer 1 | Epoch 56  |
|          3420 |    36433.0234 | Layer 1 | Epoch 57  |
|          3450 |    36082.2070 | Layer 1 | Epoch 57  |
|          3480 |    36246.7188 | Layer 1 | Epoch 58  |
|          3510 |    37790.1719 | Layer 1 | Epoch 58  |
|          3540 |    35387.6914 | Layer 1 | Epoch 59  |
|          3570 |    34928.5625 | Layer 1 | Epoch 59  |
|          3600 |    34509.9570 | Layer 1 | Epoch 60  |
|          3630 |    35534.6367 | Layer 1 | Epoch 60  |
|          3660 |    35457.6719 | Layer 1 | Epoch 61  |
|          3690 |    35358.3477 | Layer 1 | Epoch 61  |
|          3720 |    36161.6172 | Layer 1 | Epoch 61  |
|          3750 |    36947.4727 | Layer 1 | Epoch 62  |
|          3780 |    35064.6953 | Layer 1 | Epoch 62  |
|          3810 |    35415.1484 | Layer 1 | Epoch 63  |
|          3840 |    33894.5859 | Layer 1 | Epoch 63  |
|          3870 |    34039.5859 | Layer 1 | Epoch 64  |
|          3900 |    34899.6172 | Layer 1 | Epoch 64  |
|          3930 |    37572.6719 | Layer 1 | Epoch 65  |
|          3960 |    35802.8320 | Layer 1 | Epoch 65  |
|          3990 |    32451.8184 | Layer 1 | Epoch 66  |
|          4020 |    34695.7500 | Layer 1 | Epoch 66  |
|          4050 |    34959.6758 | Layer 1 | Epoch 67  |
|          4080 |    35266.6680 | Layer 1 | Epoch 67  |
|          4110 |    37288.6055 | Layer 1 | Epoch 68  |
|          4140 |    39472.1680 | Layer 1 | Epoch 68  |
|          4170 |    37313.0234 | Layer 1 | Epoch 69  |
|          4200 |    37549.2695 | Layer 1 | Epoch 69  |
|          4230 |    35042.5312 | Layer 1 | Epoch 70  |
|          4260 |    36154.9492 | Layer 1 | Epoch 70  |
|          4290 |    37532.6719 | Layer 1 | Epoch 71  |
|          4320 |    34231.5234 | Layer 1 | Epoch 71  |
|          4350 |    36306.9570 | Layer 1 | Epoch 72  |
|          4380 |    34082.8516 | Layer 1 | Epoch 72  |
|          4410 |    36621.8477 | Layer 1 | Epoch 73  |
|          4440 |    37195.7500 | Layer 1 | Epoch 73  |
|          4470 |    36389.4336 | Layer 1 | Epoch 74  |
|          4500 |    36371.7500 | Layer 1 | Epoch 74  |
|          4530 |    34692.6055 | Layer 1 | Epoch 75  |
|          4560 |    34458.9766 | Layer 1 | Epoch 75  |
|          4590 |    37146.9570 | Layer 1 | Epoch 76  |
|          4620 |    37067.2109 | Layer 1 | Epoch 76  |
|          4650 |    36770.8516 | Layer 1 | Epoch 77  |
|          4680 |    37372.8047 | Layer 1 | Epoch 77  |
|          4710 |    33404.7969 | Layer 1 | Epoch 78  |
|          4740 |    36037.5391 | Layer 1 | Epoch 78  |
|          4770 |    35706.2109 | Layer 1 | Epoch 79  |
|          4800 |    36922.5742 | Layer 1 | Epoch 79  |
|          4830 |    35581.2891 | Layer 1 | Epoch 80  |
|          4860 |    32479.5586 | Layer 1 | Epoch 80  |
|          4890 |    36839.6602 | Layer 1 | Epoch 81  |
|          4920 |    35830.8008 | Layer 1 | Epoch 81  |
|          4950 |    35741.0312 | Layer 1 | Epoch 82  |
|          4980 |    36711.1016 | Layer 1 | Epoch 82  |
|          5010 |    38585.4453 | Layer 1 | Epoch 83  |
|          5040 |    39726.1055 | Layer 1 | Epoch 83  |
|          5070 |    36307.9180 | Layer 1 | Epoch 84  |
|          5100 |    36954.6562 | Layer 1 | Epoch 84  |
|          5130 |    33670.8516 | Layer 1 | Epoch 85  |
|          5160 |    37929.0078 | Layer 1 | Epoch 85  |
|          5190 |    34707.7734 | Layer 1 | Epoch 86  |
|          5220 |    34778.9922 | Layer 1 | Epoch 86  |
|          5250 |    35885.1328 | Layer 1 | Epoch 87  |
|          5280 |    36502.1250 | Layer 1 | Epoch 87  |
|          5310 |    33830.8789 | Layer 1 | Epoch 88  |
|          5340 |    34973.3516 | Layer 1 | Epoch 88  |
|          5370 |    34390.5508 | Layer 1 | Epoch 89  |
|          5400 |    36828.5898 | Layer 1 | Epoch 89  |
|          5430 |    34816.1758 | Layer 1 | Epoch 90  |
|          5460 |    36973.8516 | Layer 1 | Epoch 90  |
|          5490 |    37811.8828 | Layer 1 | Epoch 91  |
|          5520 |    36216.5508 | Layer 1 | Epoch 91  |
|          5550 |    35546.3047 | Layer 1 | Epoch 91  |
|          5580 |    35111.5078 | Layer 1 | Epoch 92  |
|          5610 |    35881.3203 | Layer 1 | Epoch 92  |
|          5640 |    36669.9062 | Layer 1 | Epoch 93  |
|          5670 |    33258.0938 | Layer 1 | Epoch 93  |
|          5700 |    35656.2930 | Layer 1 | Epoch 94  |
|          5730 |    35523.5977 | Layer 1 | Epoch 94  |
|          5760 |    35860.3125 | Layer 1 | Epoch 95  |
|          5790 |    37013.2734 | Layer 1 | Epoch 95  |
|          5820 |    37030.4492 | Layer 1 | Epoch 96  |
|          5850 |    34006.2852 | Layer 1 | Epoch 96  |
|          5880 |    37199.1523 | Layer 1 | Epoch 97  |
|          5910 |    35547.5234 | Layer 1 | Epoch 97  |
|          5940 |    34763.8984 | Layer 1 | Epoch 98  |
|          5970 |    36252.8828 | Layer 1 | Epoch 98  |
|          6000 |    34442.3906 | Layer 1 | Epoch 99  |
|          6030 |    35615.1328 | Layer 1 | Epoch 99  |
|          6060 |    33659.8984 | Layer 1 | Epoch 100  |
|          6090 |    37108.3750 | Layer 1 | Epoch 100  |
|          6120 |    34348.5625 | Layer 1 | Epoch 101  |
|          6150 |    38195.6445 | Layer 1 | Epoch 101  |
|          6180 |    34481.3984 | Layer 1 | Epoch 102  |
|          6210 |    34099.1484 | Layer 1 | Epoch 102  |
|          6240 |    37039.6758 | Layer 1 | Epoch 103  |
|          6270 |    35490.9141 | Layer 1 | Epoch 103  |
|          6300 |    34614.6680 | Layer 1 | Epoch 104  |
|          6330 |    36880.3320 | Layer 1 | Epoch 104  |
|          6360 |    36049.4766 | Layer 1 | Epoch 105  |
|          6390 |    35871.6641 | Layer 1 | Epoch 105  |
|          6420 |    37923.5703 | Layer 1 | Epoch 106  |
|          6450 |    34349.4180 | Layer 1 | Epoch 106  |
