Script started on Sun 26 Nov 2017 02:11:59 PM EST
]0;alex@alex-obsidubuntu: ~/git/MSCS692/shah-03[01;32malex@alex-obsidubuntu[00m:[01;34m~/git/MSCS692/shah-03[00m$ exitpy autoencoder.py
2017-11-26 14:12:08.874439: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2017-11-26 14:12:08.994962: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:892] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2017-11-26 14:12:08.995319: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.683
pciBusID: 0000:01:00.0
totalMemory: 10.89GiB freeMemory: 9.76GiB
2017-11-26 14:12:08.995333: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:01:00.0, compute capability: 6.1)
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45814.0820 | Layer 1 | Epoch 1  |
|            30 |    45391.8438 | Layer 1 | Epoch 1  |
|            60 |    45389.2227 | Layer 1 | Epoch 1  |
|            90 |    45347.7422 | Layer 1 | Epoch 2  |
|           120 |    45354.7578 | Layer 1 | Epoch 2  |
|           150 |    45288.0195 | Layer 1 | Epoch 3  |
|           180 |    45343.4258 | Layer 1 | Epoch 3  |
|           210 |    45325.3047 | Layer 1 | Epoch 4  |
|           240 |    45121.5195 | Layer 1 | Epoch 4  |
|           270 |    45215.7656 | Layer 1 | Epoch 5  |
|           300 |    45197.5703 | Layer 1 | Epoch 5  |
|           330 |    45133.6367 | Layer 1 | Epoch 6  |
|           360 |    45125.3477 | Layer 1 | Epoch 6  |
|           390 |    44938.1367 | Layer 1 | Epoch 7  |
|           420 |    44918.3555 | Layer 1 | Epoch 7  |
|           450 |    45134.8320 | Layer 1 | Epoch 8  |
|           480 |    44601.8984 | Layer 1 | Epoch 8  |
|           510 |    44689.0039 | Layer 1 | Epoch 9  |
|           540 |    44587.1641 | Layer 1 | Epoch 9  |
|           570 |    44571.6016 | Layer 1 | Epoch 10  |
|           600 |    44619.7266 | Layer 1 | Epoch 10  |
|           630 |    44434.3320 | Layer 1 | Epoch 11  |
|           660 |    44103.5000 | Layer 1 | Epoch 11  |
|           690 |    44549.4688 | Layer 1 | Epoch 12  |
|           720 |    44245.8945 | Layer 1 | Epoch 12  |
|           750 |    43960.7812 | Layer 1 | Epoch 13  |
|           780 |    44121.0312 | Layer 1 | Epoch 13  |
|           810 |    44302.9922 | Layer 1 | Epoch 14  |
|           840 |    43206.6562 | Layer 1 | Epoch 14  |
|           870 |    44370.0508 | Layer 1 | Epoch 15  |
|           900 |    44116.5430 | Layer 1 | Epoch 15  |
|           930 |    44298.6016 | Layer 1 | Epoch 16  |
|           960 |    44251.2891 | Layer 1 | Epoch 16  |
|           990 |    43144.2773 | Layer 1 | Epoch 17  |
|          1020 |    43755.2617 | Layer 1 | Epoch 17  |
|          1050 |    43225.1250 | Layer 1 | Epoch 18  |
|          1080 |    43959.3516 | Layer 1 | Epoch 18  |
|          1110 |    43455.5078 | Layer 1 | Epoch 19  |
|          1140 |    43664.7500 | Layer 1 | Epoch 19  |
|          1170 |    43677.6758 | Layer 1 | Epoch 20  |
|          1200 |    43504.2422 | Layer 1 | Epoch 20  |
|          1230 |    43700.2734 | Layer 1 | Epoch 21  |
|          1260 |    44137.2031 | Layer 1 | Epoch 21  |
|          1290 |    43821.4023 | Layer 1 | Epoch 22  |
|          1320 |    43114.9141 | Layer 1 | Epoch 22  |
|          1350 |    42908.3906 | Layer 1 | Epoch 23  |
|          1380 |    42987.0781 | Layer 1 | Epoch 23  |
|          1410 |    43254.4688 | Layer 1 | Epoch 24  |
|          1440 |    42968.0078 | Layer 1 | Epoch 24  |
|          1470 |    43600.0000 | Layer 1 | Epoch 25  |
|          1500 |    43936.3438 | Layer 1 | Epoch 25  |
|          1530 |    43012.3672 | Layer 1 | Epoch 26  |
|          1560 |    42389.0156 | Layer 1 | Epoch 26  |
|          1590 |    43609.1016 | Layer 1 | Epoch 27  |
|          1620 |    42494.6562 | Layer 1 | Epoch 27  |
|          1650 |    42773.3828 | Layer 1 | Epoch 28  |
|          1680 |    43953.8203 | Layer 1 | Epoch 28  |
|          1710 |    42584.4062 | Layer 1 | Epoch 29  |
|          1740 |    43670.9609 | Layer 1 | Epoch 29  |
|          1770 |    43005.1562 | Layer 1 | Epoch 30  |
|          1800 |    42506.6133 | Layer 1 | Epoch 30  |
|          1830 |    43489.8516 | Layer 1 | Epoch 31  |
|          1860 |    43172.1680 | Layer 1 | Epoch 31  |
|          1890 |    42683.7695 | Layer 1 | Epoch 31  |
|          1920 |    42586.2266 | Layer 1 | Epoch 32  |
|          1950 |    40442.9297 | Layer 1 | Epoch 32  |
|          1980 |    42011.5547 | Layer 1 | Epoch 33  |
|          2010 |    42881.2148 | Layer 1 | Epoch 33  |
|          2040 |    42129.4297 | Layer 1 | Epoch 34  |
|          2070 |    43124.2109 | Layer 1 | Epoch 34  |
