Script started on Thu 23 Nov 2017 03:03:44 PM EST
]0;alex@alex-obsidubuntu: ~/live/ae[01;32malex@alex-obsidubuntu[00m:[01;34m~/live/ae[00m$ exitpy autoencoder.py
2017-11-23 15:03:46.567657: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 15:03:46.567672: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 15:03:46.567676: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 15:03:46.567678: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 15:03:46.567681: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
2017-11-23 15:03:46.677588: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:893] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2017-11-23 15:03:46.677814: I tensorflow/core/common_runtime/gpu/gpu_device.cc:955] Found device 0 with properties: 
name: GeForce GTX 1080 Ti
major: 6 minor: 1 memoryClockRate (GHz) 1.683
pciBusID 0000:01:00.0
Total memory: 10.89GiB
Free memory: 10.00GiB
2017-11-23 15:03:46.677824: I tensorflow/core/common_runtime/gpu/gpu_device.cc:976] DMA: 0 
2017-11-23 15:03:46.677827: I tensorflow/core/common_runtime/gpu/gpu_device.cc:986] 0:   Y 
2017-11-23 15:03:46.677833: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1045] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:01:00.0)
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    46904.9453 | Layer 1 | Epoch 1  |
|            30 |    45253.8281 | Layer 1 | Epoch 1  |
|            60 |    45232.0859 | Layer 1 | Epoch 1  |
|            90 |    45214.8828 | Layer 1 | Epoch 2  |
|           120 |    45087.8984 | Layer 1 | Epoch 2  |
|           150 |    44988.7031 | Layer 1 | Epoch 3  |
|           180 |    45059.7344 | Layer 1 | Epoch 3  |
|           210 |    44740.3594 | Layer 1 | Epoch 4  |
|           240 |    44894.4219 | Layer 1 | Epoch 4  |
|           270 |    44378.1562 | Layer 1 | Epoch 5  |
|           300 |    44699.1172 | Layer 1 | Epoch 5  |
|           330 |    44360.0312 | Layer 1 | Epoch 6  |
|           360 |    44479.0391 | Layer 1 | Epoch 6  |
|           390 |    44113.6094 | Layer 1 | Epoch 7  |
|           420 |    43462.4141 | Layer 1 | Epoch 7  |
|           450 |    44003.0039 | Layer 1 | Epoch 8  |
|           480 |    44218.6836 | Layer 1 | Epoch 8  |
|           510 |    43334.2344 | Layer 1 | Epoch 9  |
|           540 |    43365.4453 | Layer 1 | Epoch 9  |
|           570 |    43002.4297 | Layer 1 | Epoch 10  |
|           600 |    42834.3398 | Layer 1 | Epoch 10  |
|           630 |    41819.5781 | Layer 1 | Epoch 11  |
|           660 |    43043.2734 | Layer 1 | Epoch 11  |
|           690 |    43305.9531 | Layer 1 | Epoch 12  |
|           720 |    43292.4297 | Layer 1 | Epoch 12  |
|           750 |    42338.9453 | Layer 1 | Epoch 13  |
|           780 |    42401.1719 | Layer 1 | Epoch 13  |
|           810 |    42178.6484 | Layer 1 | Epoch 14  |
|           840 |    42242.7109 | Layer 1 | Epoch 14  |
|           870 |    43159.5117 | Layer 1 | Epoch 15  |
|           900 |    43167.2344 | Layer 1 | Epoch 15  |
|           930 |    43970.3203 | Layer 1 | Epoch 16  |
|           960 |    42008.7031 | Layer 1 | Epoch 16  |
|           990 |    41817.5430 | Layer 1 | Epoch 17  |
|          1020 |    41605.4805 | Layer 1 | Epoch 17  |
|          1050 |    41646.3320 | Layer 1 | Epoch 18  |
|          1080 |    42722.0547 | Layer 1 | Epoch 18  |
|          1110 |    40856.0391 | Layer 1 | Epoch 19  |
|          1140 |    40689.5859 | Layer 1 | Epoch 19  |
|          1170 |    41645.6250 | Layer 1 | Epoch 20  |
|          1200 |    42293.1875 | Layer 1 | Epoch 20  |
|          1230 |    40467.3711 | Layer 1 | Epoch 21  |
|          1260 |    41403.9648 | Layer 1 | Epoch 21  |
