Script started on Sun 26 Nov 2017 02:46:58 PM EST
]0;alex@alex-obsidubuntu: ~/git/MSCS692/shah-03[01;32malex@alex-obsidubuntu[00m:[01;34m~/git/MSCS692/shah-03[00m$ exit\py autoencoder.py
2017-11-26 14:47:01.497052: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2017-11-26 14:47:01.594700: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:892] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2017-11-26 14:47:01.594937: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.683
pciBusID: 0000:01:00.0
totalMemory: 10.89GiB freeMemory: 9.81GiB
2017-11-26 14:47:01.594948: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:01:00.0, compute capability: 6.1)
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|          2340 |    44319.1445 | Layer 1 | Epoch 39  |
|          2370 |    44259.9922 | Layer 1 | Epoch 39  |
|          2400 |    43708.7422 | Layer 1 | Epoch 40  |
|          2430 |    44106.2148 | Layer 1 | Epoch 40  |
|          2460 |    44241.3750 | Layer 1 | Epoch 41  |
|          2490 |    43418.9492 | Layer 1 | Epoch 41  |
|          2520 |    43763.2305 | Layer 1 | Epoch 42  |
|          2550 |    43422.9453 | Layer 1 | Epoch 42  |
|          2580 |    44581.6328 | Layer 1 | Epoch 43  |
|          2610 |    43535.0000 | Layer 1 | Epoch 43  |
|          2640 |    43870.3008 | Layer 1 | Epoch 44  |
|          2670 |    43279.6211 | Layer 1 | Epoch 44  |
|          2700 |    43605.9922 | Layer 1 | Epoch 45  |
|          2730 |    44103.9688 | Layer 1 | Epoch 45  |
|          2760 |    43281.8828 | Layer 1 | Epoch 46  |
|          2790 |    44179.8008 | Layer 1 | Epoch 46  |
|          2820 |    43612.8672 | Layer 1 | Epoch 47  |
|          2850 |    44261.7305 | Layer 1 | Epoch 47  |
|          2880 |    43474.8477 | Layer 1 | Epoch 48  |
|          2910 |    43665.1016 | Layer 1 | Epoch 48  |
|          2940 |    44032.7852 | Layer 1 | Epoch 49  |
|          2970 |    43589.7188 | Layer 1 | Epoch 49  |
|          3000 |    43937.5547 | Layer 1 | Epoch 50  |
|          3030 |    43303.6758 | Layer 1 | Epoch 50  |
|          3060 |    43604.6484 | Layer 1 | Epoch 51  |
|          3090 |    44091.5430 | Layer 1 | Epoch 51  |
|          3120 |    43245.6328 | Layer 1 | Epoch 52  |
|          3150 |    43435.9414 | Layer 1 | Epoch 52  |
|          3180 |    43175.3359 | Layer 1 | Epoch 53  |
|          3210 |    42654.8945 | Layer 1 | Epoch 53  |
|          3240 |    43715.7930 | Layer 1 | Epoch 54  |
|          3270 |    43189.8477 | Layer 1 | Epoch 54  |
|          3300 |    43656.7734 | Layer 1 | Epoch 55  |
|          3330 |    43570.2070 | Layer 1 | Epoch 55  |
|          3360 |    44014.5312 | Layer 1 | Epoch 56  |
|          3390 |    43609.4141 | Layer 1 | Epoch 56  |
|          3420 |    44157.0039 | Layer 1 | Epoch 57  |
|          3450 |    43400.0078 | Layer 1 | Epoch 57  |
|          3480 |    43794.4297 | Layer 1 | Epoch 58  |
|          3510 |    43243.5508 | Layer 1 | Epoch 58  |
|          3540 |    43265.7422 | Layer 1 | Epoch 59  |
|          3570 |    42247.1719 | Layer 1 | Epoch 59  |
|          3600 |    43428.9570 | Layer 1 | Epoch 60  |
|          3630 |    43298.4297 | Layer 1 | Epoch 60  |
|          3660 |    43827.6719 | Layer 1 | Epoch 61  |
|          3690 |    42748.8828 | Layer 1 | Epoch 61  |
|          3720 |    42582.7070 | Layer 1 | Epoch 61  |
|          3750 |    44107.0078 | Layer 1 | Epoch 62  |
|          3780 |    43288.0391 | Layer 1 | Epoch 62  |
|          3810 |    44118.1641 | Layer 1 | Epoch 63  |
|          3840 |    43460.8750 | Layer 1 | Epoch 63  |
|          3870 |    42599.2539 | Layer 1 | Epoch 64  |
|          3900 |    43366.7109 | Layer 1 | Epoch 64  |
|          3930 |    43188.4297 | Layer 1 | Epoch 65  |
|          3960 |    43042.1172 | Layer 1 | Epoch 65  |
|          3990 |    43481.1875 | Layer 1 | Epoch 66  |
|          4020 |    43490.4453 | Layer 1 | Epoch 66  |
|          4050 |    42993.2500 | Layer 1 | Epoch 67  |
|          4080 |    42558.5117 | Layer 1 | Epoch 67  |
|          4110 |    43303.5703 | Layer 1 | Epoch 68  |
|          4140 |    43448.4922 | Layer 1 | Epoch 68  |
|          4170 |    43228.3047 | Layer 1 | Epoch 69  |
|          4200 |    42889.2344 | Layer 1 | Epoch 69  |
|          4230 |    42841.6992 | Layer 1 | Epoch 70  |
|          4260 |    43300.5312 | Layer 1 | Epoch 70  |
|          4290 |    43120.3555 | Layer 1 | Epoch 71  |
|          4320 |    43407.6172 | Layer 1 | Epoch 71  |
|          4350 |    43766.9180 | Layer 1 | Epoch 72  |
|          4380 |    43581.4453 | Layer 1 | Epoch 72  |
|          4410 |    42724.1211 | Layer 1 | Epoch 73  |
|          4440 |    43002.7070 | Layer 1 | Epoch 73  |
|          4470 |    43955.3594 | Layer 1 | Epoch 74  |
|          4500 |    42349.2891 | Layer 1 | Epoch 74  |
|          4530 |    42558.1289 | Layer 1 | Epoch 75  |
|          4560 |    42900.5781 | Layer 1 | Epoch 75  |
|          4590 |    42772.6875 | Layer 1 | Epoch 76  |
|          4620 |    42549.1562 | Layer 1 | Epoch 76  |
|          4650 |    43042.6367 | Layer 1 | Epoch 77  |
|          4680 |    42699.3359 | Layer 1 | Epoch 77  |
|          4710 |    42410.4688 | Layer 1 | Epoch 78  |
|          4740 |    42292.1992 | Layer 1 | Epoch 78  |
|          4770 |    42929.0469 | Layer 1 | Epoch 79  |
|          4800 |    42563.8555 | Layer 1 | Epoch 79  |
|          4830 |    43086.9453 | Layer 1 | Epoch 80  |
|          4860 |    43054.1641 | Layer 1 | Epoch 80  |
|          4890 |    42993.3203 | Layer 1 | Epoch 81  |
|          4920 |    42146.1016 | Layer 1 | Epoch 81  |
|          4950 |    43130.6562 | Layer 1 | Epoch 82  |
|          4980 |    43738.0195 | Layer 1 | Epoch 82  |
|          5010 |    42777.8164 | Layer 1 | Epoch 83  |
|          5040 |    42991.9297 | Layer 1 | Epoch 83  |
|          5070 |    43429.3516 | Layer 1 | Epoch 84  |
|          5100 |    42269.8633 | Layer 1 | Epoch 84  |
|          5130 |    42718.2891 | Layer 1 | Epoch 85  |
|          5160 |    41870.6992 | Layer 1 | Epoch 85  |
|          5190 |    43259.1016 | Layer 1 | Epoch 86  |
|          5220 |    42821.4883 | Layer 1 | Epoch 86  |
|          5250 |    43051.7383 | Layer 1 | Epoch 87  |
|          5280 |    42353.6758 | Layer 1 | Epoch 87  |
|          5310 |    43262.9141 | Layer 1 | Epoch 88  |
|          5340 |    42588.3750 | Layer 1 | Epoch 88  |
|          5370 |    42770.6484 | Layer 1 | Epoch 89  |
|          5400 |    42029.7812 | Layer 1 | Epoch 89  |
|          5430 |    42097.0898 | Layer 1 | Epoch 90  |
|          5460 |    43080.0625 | Layer 1 | Epoch 90  |
|          5490 |    42854.3516 | Layer 1 | Epoch 91  |
|          5520 |    43724.3359 | Layer 1 | Epoch 91  |
|          5550 |    43153.8203 | Layer 1 | Epoch 91  |
|          5580 |    42679.1797 | Layer 1 | Epoch 92  |
|          5610 |    43313.6797 | Layer 1 | Epoch 92  |
|          5640 |    43419.5508 | Layer 1 | Epoch 93  |
|          5670 |    42763.1289 | Layer 1 | Epoch 93  |
|          5700 |    42954.9062 | Layer 1 | Epoch 94  |
|          5730 |    42080.9414 | Layer 1 | Epoch 94  |
|          5760 |    42563.0703 | Layer 1 | Epoch 95  |
|          5790 |    42528.6719 | Layer 1 | Epoch 95  |
|          5820 |    42595.0508 | Layer 1 | Epoch 96  |
|          5850 |    42734.4453 | Layer 1 | Epoch 96  |
|          5880 |    42005.8867 | Layer 1 | Epoch 97  |
|          5910 |    43087.5703 | Layer 1 | Epoch 97  |
|          5940 |    43037.4141 | Layer 1 | Epoch 98  |
|          5970 |    42641.9180 | Layer 1 | Epoch 98  |
|          6000 |    42792.0586 | Layer 1 | Epoch 99  |
|          6030 |    42109.4062 | Layer 1 | Epoch 99  |
|          6060 |    42952.1719 | Layer 1 | Epoch 100  |
|          6090 |    43039.2656 | Layer 1 | Epoch 100  |
|          6120 |    42490.9141 | Layer 1 | Epoch 101  |
|          6150 |    42548.8125 | Layer 1 | Epoch 101  |
|          6180 |    42080.5078 | Layer 1 | Epoch 102  |
|          6210 |    42790.5000 | Layer 1 | Epoch 102  |
|          6240 |    42308.7305 | Layer 1 | Epoch 103  |
|          6270 |    42748.7500 | Layer 1 | Epoch 103  |
|          6300 |    42354.4180 | Layer 1 | Epoch 104  |
|          6330 |    42553.8633 | Layer 1 | Epoch 104  |
|          6360 |    42414.8945 | Layer 1 | Epoch 105  |
|          6390 |    42538.6680 | Layer 1 | Epoch 105  |
|          6420 |    41863.0391 | Layer 1 | Epoch 106  |
|          6450 |    42907.3633 | Layer 1 | Epoch 106  |
|          6480 |    43460.7266 | Layer 1 | Epoch 107  |
|          6510 |    42360.0000 | Layer 1 | Epoch 107  |
|          6540 |    41525.4609 | Layer 1 | Epoch 108  |
|          6570 |    43285.7617 | Layer 1 | Epoch 108  |
|          6600 |    42551.2891 | Layer 1 | Epoch 109  |
|          6630 |    42144.6211 | Layer 1 | Epoch 109  |
|          6660 |    41997.2461 | Layer 1 | Epoch 110  |
|          6690 |    41726.1484 | Layer 1 | Epoch 110  |
|          6720 |    42619.6133 | Layer 1 | Epoch 111  |
|          6750 |    42014.4180 | Layer 1 | Epoch 111  |
|          6780 |    42127.8320 | Layer 1 | Epoch 112  |
|          6810 |    42253.2695 | Layer 1 | Epoch 112  |
|          6840 |    42952.9922 | Layer 1 | Epoch 113  |
|          6870 |    42294.2930 | Layer 1 | Epoch 113  |
|          6900 |    41933.4688 | Layer 1 | Epoch 114  |
|          6930 |    41855.2656 | Layer 1 | Epoch 114  |
|          6960 |    43214.3984 | Layer 1 | Epoch 115  |
|          6990 |    42479.8906 | Layer 1 | Epoch 115  |
|          7020 |    42570.7422 | Layer 1 | Epoch 116  |
|          7050 |    42945.7148 | Layer 1 | Epoch 116  |
|          7080 |    42316.7422 | Layer 1 | Epoch 117  |
|          7110 |    42011.8867 | Layer 1 | Epoch 117  |
|          7140 |    42803.1328 | Layer 1 | Epoch 118  |
|          7170 |    42554.1484 | Layer 1 | Epoch 118  |
|          7200 |    42640.6016 | Layer 1 | Epoch 119  |
|          7230 |    42268.2383 | Layer 1 | Epoch 119  |
|          7260 |    41841.0859 | Layer 1 | Epoch 120  |
|          7290 |    43002.5430 | Layer 1 | Epoch 120  |
|          7320 |    41514.0547 | Layer 1 | Epoch 121  |
|          7350 |    42932.4844 | Layer 1 | Epoch 121  |
|          7380 |    42642.6016 | Layer 1 | Epoch 121  |
|          7410 |    41904.2617 | Layer 1 | Epoch 122  |
|          7440 |    41715.5859 | Layer 1 | Epoch 122  |
|          7470 |    42713.2891 | Layer 1 | Epoch 123  |
|          7500 |    43204.0352 | Layer 1 | Epoch 123  |
|          7530 |    41027.0508 | Layer 1 | Epoch 124  |
|          7560 |    42534.0586 | Layer 1 | Epoch 124  |
|          7590 |    41976.2891 | Layer 1 | Epoch 125  |
|          7620 |    41988.1445 | Layer 1 | Epoch 125  |
|          7650 |    42703.7305 | Layer 1 | Epoch 126  |
|          7680 |    41607.4922 | Layer 1 | Epoch 126  |
|          7710 |    41149.3633 | Layer 1 | Epoch 127  |
|          7740 |    42302.3984 | Layer 1 | Epoch 127  |
|          7770 |    41693.2734 | Layer 1 | Epoch 128  |
|          7800 |    42812.4688 | Layer 1 | Epoch 128  |
|          7830 |    42094.7422 | Layer 1 | Epoch 129  |
|          7860 |    43018.2930 | Layer 1 | Epoch 129  |
|          7890 |    42809.1641 | Layer 1 | Epoch 130  |
|          7920 |    43080.9609 | Layer 1 | Epoch 130  |
|          7950 |    42752.6484 | Layer 1 | Epoch 131  |
|          7980 |    41348.0703 | Layer 1 | Epoch 131  |
|          8010 |    42268.8555 | Layer 1 | Epoch 132  |
|          8040 |    42587.4922 | Layer 1 | Epoch 132  |
|          8070 |    41246.9102 | Layer 1 | Epoch 133  |
|          8100 |    42355.6445 | Layer 1 | Epoch 133  |
|          8130 |    42502.7930 | Layer 1 | Epoch 134  |
|          8160 |    41238.5312 | Layer 1 | Epoch 134  |
|          8190 |    42738.2812 | Layer 1 | Epoch 135  |
|          8220 |    41841.2266 | Layer 1 | Epoch 135  |
|          8250 |    41813.9023 | Layer 1 | Epoch 136  |
|          8280 |    41148.0273 | Layer 1 | Epoch 136  |
|          8310 |    42236.9883 | Layer 1 | Epoch 137  |
|          8340 |    41599.2383 | Layer 1 | Epoch 137  |
|          8370 |    42907.2578 | Layer 1 | Epoch 138  |
|          8400 |    41919.9180 | Layer 1 | Epoch 138  |
|          8430 |    42243.9570 | Layer 1 | Epoch 139  |
|          8460 |    41347.7656 | Layer 1 | Epoch 139  |
|          8490 |    43065.5234 | Layer 1 | Epoch 140  |
|          8520 |    42580.3594 | Layer 1 | Epoch 140  |
|          8550 |    41291.6445 | Layer 1 | Epoch 141  |
|          8580 |    43005.8984 | Layer 1 | Epoch 141  |
|          8610 |    41476.1055 | Layer 1 | Epoch 142  |
|          8640 |    42047.0312 | Layer 1 | Epoch 142  |
|          8670 |    42036.2578 | Layer 1 | Epoch 143  |
|          8700 |    42479.0391 | Layer 1 | Epoch 143  |
|          8730 |    40584.4570 | Layer 1 | Epoch 144  |
|          8760 |    42337.2109 | Layer 1 | Epoch 144  |
|          8790 |    42409.8242 | Layer 1 | Epoch 145  |
|          8820 |    41622.6953 | Layer 1 | Epoch 145  |
|          8850 |    41950.0742 | Layer 1 | Epoch 146  |
|          8880 |    42847.7734 | Layer 1 | Epoch 146  |
|          8910 |    41605.9805 | Layer 1 | Epoch 147  |
|          8940 |    42117.4688 | Layer 1 | Epoch 147  |
|          8970 |    42585.9570 | Layer 1 | Epoch 148  |
|          9000 |    41799.6875 | Layer 1 | Epoch 148  |
|          9030 |    41657.9766 | Layer 1 | Epoch 149  |
|          9060 |    41695.5938 | Layer 1 | Epoch 149  |
|          9090 |    41531.9062 | Layer 1 | Epoch 150  |
